"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"67",23,"B+N",1,1,"MAD",1,38.12,1101,153,21.7705555555556,14,2.22944444444444
"68",23,"B+N",2,1,"MAD",1,38.12,997,156,20.3988888888889,11,3.60111111111111
"69",23,"B+N",3,1,"MAD",1,38.12,348,39,13.2883333333333,7,1.21166666666667
"70",24,"BO",1,1,"MAD",1,22.33,1321,162,22.6605555555556,9,1.33944444444444
"71",24,"BO",2,1,"MAD",1,22.33,1632,261,20.8658333333333,13,3.13416666666667
"72",24,"BO",3,1,"MAD",1,22.33,481,70,13.2102777777778,6,1.28972222222222
"73",25,"B+N",1,1,"MAD",1,20.55,1121,156,21.9330555555556,25,2.06694444444444
"74",25,"B+N",2,1,"MAD",1,20.55,1536,237,19.5594444444444,22,4.44055555555556
"75",25,"B+N",3,1,"MAD",1,20.55,692,100,11.8916666666667,17,2.35833333333333
"76",26,"BO",1,1,"MAD",1,28.1,1119,172,21.5202777777778,7,2.47972222222222
"77",26,"BO",2,1,"MAD",1,28.1,1521,241,19.5358333333333,14,4.46416666666667
"78",26,"BO",3,1,"MAD",1,28.1,758,124,10.9333333333333,7,2.06666666666667
"79",27,"LIDO",1,1,"MAD",1,25.15,434,37,22.7077777777778,12,1.29222222222222
"80",27,"LIDO",2,1,"MAD",1,25.15,835,137,21.7894444444444,17,2.21055555555556
"81",27,"LIDO",3,1,"MAD",1,25.15,320,40,12.4144444444444,8,1.08555555555556
"82",28,"BO",1,1,"CAD",1,29.07,3043,473,20.5272222222222,28,3.47277777777778
"83",28,"BO",2,1,"CAD",1,29.07,1796,297,20.2783333333333,24,3.72166666666667
"84",28,"BO",3,1,"CAD",1,29.07,1020,176,12.7036111111111,12,1.54638888888889
"85",29,"B+N",1,1,"CAD",1,30.68,1543,216,21.4830555555556,32,2.51694444444444
"86",29,"B+N",2,1,"CAD",1,30.68,974,155,20.76,25,3.24
"87",29,"B+N",3,1,"CAD",1,30.68,359,60,12.2127777777778,14,1.78722222222222
"88",30,"LIDO",1,1,"CAD",1,22.53,3114,498,21.0380555555556,27,2.96194444444444
"89",30,"LIDO",2,1,"CAD",1,22.53,1796,306,21.1644444444444,20,2.83555555555556
"90",30,"LIDO",3,1,"CAD",1,22.53,314,51,8.70305555555556,8,1.29694444444444
"91",31,"B+N",1,2,"MAD",2,26.82,1096,137,22.4166666666667,11,1.58333333333333
"92",31,"B+N",2,2,"MAD",2,26.82,1147,198,20.4675,11,3.5325
"93",31,"B+N",3,2,"MAD",2,26.82,461,75,14.5375,6,1.7125
"94",33,"BO",1,2,"MAD",2,17.3,1540,194,21.3402777777778,19,2.65972222222222
"95",33,"BO",2,2,"MAD",2,17.3,1610,248,19.8808333333333,17,4.11916666666667
"96",33,"BO",3,2,"MAD",2,17.3,807,128,14.3463888888889,11,1.90361111111111
"97",34,"LIDO",1,2,"MAD",2,30.35,1366,175,20.9902777777778,9,3.00972222222222
"98",34,"LIDO",2,2,"MAD",2,30.35,2175,346,17.5236111111111,25,6.47638888888889
"99",34,"LIDO",3,2,"MAD",2,30.35,1124,152,13.0452777777778,21,3.20472222222222
"100",35,"BO",1,2,"MAD",2,17.05,1719,189,22.0883333333333,11,1.91166666666667
"101",35,"BO",2,2,"MAD",2,17.05,1973,362,19.4197222222222,24,4.58027777777778
"102",35,"BO",3,2,"MAD",2,17.05,1604,276,12.1897222222222,23,4.06027777777778
"103",36,"B+N",1,2,"MAD",2,23.97,1118,125,21.7030555555556,21,2.29694444444444
"104",36,"B+N",2,2,"MAD",2,23.97,930,137,19.9338888888889,28,4.06611111111111
"105",36,"B+N",3,2,"MAD",2,23.97,413,66,14.5352777777778,17,1.46472222222222
"106",37,"B+N",1,2,"MAD",2,24.35,2852,482,21.6011111111111,20,2.39888888888889
"107",37,"B+N",2,2,"MAD",2,24.35,2330,411,19.6747222222222,25,4.32527777777778
"108",37,"B+N",3,2,"MAD",2,24.35,1045,177,13.8180555555556,15,2.18194444444444
"109",38,"BO",1,2,"MAD",2,22.38,1639,239,20.6597222222222,20,3.34027777777778
"110",38,"BO",2,2,"MAD",2,22.38,1263,173,19.7816666666667,22,4.21833333333333
