"","Cow","TRT","hour","sday","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"94",10,"BO",29,1,41,2,44.9,1,15.1
"95",10,"BO",30,1,109,11,33.1333333333333,2,26.8666666666667
"96",10,"BO",31,1,24,1,46.8666666666667,1,13.1333333333333
"97",10,"BO",32,1,6,0,60,0,0
"98",10,"BO",33,1,1,0,60,0,0
"99",10,"BO",34,1,14,0,60,0,0
"100",10,"BO",35,1,46,9,43.1833333333333,1,16.8166666666667
"101",10,"BO",36,1,4,0,60,0,0
"102",10,"BO",37,1,37,1,46.1333333333333,1,13.8666666666667
"103",10,"BO",38,1,77,8,38.3,1,21.7
"104",10,"BO",39,1,28,2,49.8,1,10.2
"105",10,"BO",40,1,62,9,6.7,0,53.3
"106",10,"BO",41,1,3,0,60,0,0
"107",10,"BO",42,1,156,23,27.45,2,32.55
"108",10,"BO",43,1,106,20,37.1,0,22.9
"109",10,"BO",44,1,29,6,54.1833333333333,1,5.81666666666667
"110",10,"BO",45,1,26,1,52.7333333333333,1,7.26666666666667
"111",10,"BO",46,1,62,6,51.5,1,8.5
"112",10,"BO",47,1,37,4,51.5833333333333,1,8.41666666666667
"113",10,"BO",48,1,36,4,55.9166666666667,1,4.08333333333333
"114",10,"BO",49,1,58,9,38.5833333333333,0,21.4166666666667
"115",10,"BO",50,1,45,5,40.0833333333333,1,19.9166666666667
"116",10,"BO",51,1,0,0,60,0,0
"117",10,"BO",52,1,42,4,44.9166666666667,1,15.0833333333333
"118",10,"BO",53,1,45,5,50.4333333333333,1,9.56666666666667
"119",10,"BO",54,1,53,7,44.2166666666667,1,15.7833333333333
"120",10,"BO",55,1,68,10,46.8,1,13.2
"121",10,"BO",56,1,36,7,48.7,1,11.3
"122",10,"BO",57,1,1,0,60,0,0
"123",10,"BO",58,1,5,0,60,0,0
"124",10,"BO",59,1,2,0,60,0,0
"125",10,"BO",60,1,38,3,43.4166666666667,1,16.5833333333333
"126",10,"BO",61,1,2,0,60,0,0
"127",10,"BO",62,1,21,2,49.4666666666667,1,10.5333333333333
"128",10,"BO",63,1,24,3,51.2833333333333,1,8.71666666666667
"129",10,"BO",64,1,47,11,37.2,1,7.8
"130",11,"B+N",1,1,185,16,52.5666666666667,5,7.43333333333333
"131",11,"B+N",2,1,67,9,56.2333333333333,3,3.76666666666667
"132",11,"B+N",3,1,5,0,60,0,0
"133",11,"B+N",4,1,3,0,60,0,0
"134",11,"B+N",5,1,1,0,60,0,0
"135",11,"B+N",6,1,6,0,60,0,0
"136",11,"B+N",7,1,9,0,60,0,0
"137",11,"B+N",8,1,3,0,60,0,0
"138",11,"B+N",9,1,94,20,44.8166666666667,1,15.1833333333333
"139",11,"B+N",10,1,3,0,60,0,0
"140",11,"B+N",11,1,5,0,60,0,0
"141",11,"B+N",12,1,0,0,60,0,0
"142",11,"B+N",13,1,1,0,60,0,0
"143",11,"B+N",14,1,61,13,49.8833333333333,1,10.1166666666667
"144",11,"B+N",15,1,1,0,60,0,0
"145",11,"B+N",16,1,132,21,51,1,9
"146",11,"B+N",17,1,161,24,42.9,2,17.1
"147",11,"B+N",18,1,113,18,38.1,3,21.9
"148",11,"B+N",19,1,1,0,60,0,0
"149",11,"B+N",20,1,36,3,52.7,1,7.3
"150",11,"B+N",21,1,50,5,50.3666666666667,3,9.63333333333333
"151",11,"B+N",22,1,1,0,60,0,0
"152",11,"B+N",23,1,26,1,53.8333333333333,2,6.16666666666667
"153",11,"B+N",24,1,123,17,28.9666666666667,4,31.0333333333333
"154",11,"B+N",25,1,6,1,53.8666666666667,1,6.13333333333333
"155",11,"B+N",26,1,14,1,57.4166666666667,1,2.58333333333333
"156",11,"B+N",27,1,8,1,57.35,1,2.65
"157",11,"B+N",28,1,26,2,56.5,1,3.5
"158",11,"B+N",29,1,35,7,56.1833333333333,1,3.81666666666667
"159",11,"B+N",30,1,46,6,49.1,2,10.9
"160",11,"B+N",31,1,18,2,55.5,1,4.5
"161",11,"B+N",32,1,65,9,51.25,2,8.75
"162",11,"B+N",33,1,13,2,57.1,1,2.9
"163",11,"B+N",34,1,68,8,51.65,2,8.35
"164",11,"B+N",35,1,18,1,56.8333333333333,1,3.16666666666667
"165",11,"B+N",36,1,15,2,55.8,1,4.2
"166",11,"B+N",37,1,0,0,60,0,0
"167",11,"B+N",38,1,45,5,48.8166666666667,3,11.1833333333333
"168",11,"B+N",39,1,10,2,42.8,1,17.2
"169",11,"B+N",40,1,71,6,36.4,2,23.6
"170",11,"B+N",41,1,83,15,31.5,1,28.5
"171",11,"B+N",42,1,222,32,1.13333333333333,2,58.8666666666667
"172",11,"B+N",43,1,149,24,0,0,60
"173",11,"B+N",44,1,8,0,0,0,60
"174",11,"B+N",45,1,1,0,0,0,60
"175",11,"B+N",46,1,63,12,0,0,60
"176",11,"B+N",47,1,44,4,0,0,60
"177",11,"B+N",48,1,187,25,9.53333333333333,2,50.4666666666667
"178",11,"B+N",49,1,73,7,52.1666666666667,1,7.83333333333333
"179",11,"B+N",50,1,0,0,60,0,0
"180",11,"B+N",51,1,23,3,54.6666666666667,1,5.33333333333333
"181",11,"B+N",52,1,47,6,50.65,1,9.35
"182",11,"B+N",53,1,19,2,57.1166666666667,1,2.88333333333333
"183",11,"B+N",54,1,15,5,54.3833333333333,1,5.61666666666667
"184",11,"B+N",55,1,19,2,56.25,1,3.75
"185",11,"B+N",56,1,47,6,42.3,2,17.7
"186",11,"B+N",57,1,7,0,52.9666666666667,1,7.03333333333333
"187",11,"B+N",58,1,16,0,59.0666666666667,0,0.933333333333333
"188",11,"B+N",59,1,0,0,56.6666666666667,1,3.33333333333333
"189",11,"B+N",60,1,13,1,60,0,0
"190",11,"B+N",61,1,7,1,56.5,1,3.5
"191",11,"B+N",62,1,6,1,60,0,0
"192",11,"B+N",63,1,48,3,42.9666666666667,2,17.0333333333333
"193",11,"B+N",64,1,27,2,0,0,15
"194",12,"LIDO",1,1,226,12,56.9833333333333,2,3.01666666666667
"195",12,"LIDO",2,1,8,0,60,0,0
"196",12,"LIDO",3,1,0,0,60,0,0
"197",12,"LIDO",4,1,2,0,60,0,0
"198",12,"LIDO",5,1,40,4,57.5333333333333,1,2.46666666666667
"199",12,"LIDO",6,1,8,0,60,0,0
"200",12,"LIDO",7,1,48,5,55.6,1,4.4
"201",12,"LIDO",8,1,10,3,59.9333333333333,0,0.0666666666666667
"202",12,"LIDO",9,1,49,6,54.5166666666667,1,5.48333333333333
"203",12,"LIDO",10,1,13,0,60,0,0
"204",12,"LIDO",11,1,16,0,60,0,0
"205",12,"LIDO",12,1,57,5,53.3166666666667,1,6.68333333333333
"206",12,"LIDO",13,1,1,0,60,0,0
"207",12,"LIDO",14,1,22,0,58.1333333333333,1,1.86666666666667
"208",12,"LIDO",15,1,17,1,57.6833333333333,0,2.31666666666667
"209",12,"LIDO",16,1,11,0,60,0,0
"210",12,"LIDO",17,1,276,45,40.3,1,19.7
"211",12,"LIDO",18,1,73,4,53.3,2,6.7
"212",12,"LIDO",19,1,45,3,57.95,2,2.05
"213",12,"LIDO",20,1,1,0,60,0,0
"214",12,"LIDO",21,1,35,3,58.3,1,1.7
"215",12,"LIDO",22,1,27,4,56.2166666666667,1,3.78333333333333
"216",12,"LIDO",23,1,29,0,60,0,0
"217",12,"LIDO",24,1,15,0,60,0,0
"218",12,"LIDO",25,1,21,1,56.9,1,3.1
"219",12,"LIDO",26,1,1,0,60,0,0
"220",12,"LIDO",27,1,27,0,60,0,0
"221",12,"LIDO",28,1,50,7,52.45,1,7.55
"222",12,"LIDO",29,1,0,0,60,0,0
"223",12,"LIDO",30,1,66,10,46.3833333333333,1,13.6166666666667
"224",12,"LIDO",31,1,22,0,57.8166666666667,1,2.18333333333333
"225",12,"LIDO",32,1,33,7,57.3666666666667,0,2.63333333333333
"226",12,"LIDO",33,1,41,6,52.9333333333333,1,7.06666666666667
"227",12,"LIDO",34,1,0,0,60,0,0
"228",12,"LIDO",35,1,26,7,53.5666666666667,1,6.43333333333333
"229",12,"LIDO",36,1,8,0,60,0,0
"230",12,"LIDO",37,1,54,2,56.5666666666667,1,3.43333333333333
"231",12,"LIDO",38,1,0,0,60,0,0
"232",12,"LIDO",39,1,75,12,46.05,1,13.95
"233",12,"LIDO",40,1,30,5,51.55,1,8.45
"234",12,"LIDO",41,1,21,1,50.5,2,9.5
"235",12,"LIDO",42,1,327,71,18.4166666666667,0,41.5833333333333
"236",12,"LIDO",43,1,7,0,60,0,0
"237",12,"LIDO",44,1,30,2,47.8833333333333,1,12.1166666666667
"238",12,"LIDO",45,1,44,6,49.1833333333333,1,10.8166666666667
"239",12,"LIDO",46,1,8,1,60,0,0
"240",12,"LIDO",47,1,8,0,50.25,1,9.75
"241",12,"LIDO",48,1,135,26,44.8166666666667,0,15.1833333333333
"242",12,"LIDO",49,1,5,0,49.8333333333333,1,10.1666666666667
"243",12,"LIDO",50,1,32,5,55.6666666666667,0,4.33333333333333
"244",12,"LIDO",51,1,46,4,48.1833333333333,2,11.8166666666667
"245",12,"LIDO",52,1,16,3,60,0,0
"246",12,"LIDO",53,1,39,5,53.3166666666667,1,6.68333333333333
"247",12,"LIDO",54,1,4,0,60,0,0
"248",12,"LIDO",55,1,43,6,41.8666666666667,1,18.1333333333333
"249",12,"LIDO",56,1,22,2,52.7166666666667,1,7.28333333333333
"250",12,"LIDO",57,1,45,5,47.1666666666667,2,12.8333333333333
"251",12,"LIDO",58,1,12,0,58.0333333333333,1,1.96666666666667
"252",12,"LIDO",59,1,20,3,54.1666666666667,0,5.83333333333333
"253",12,"LIDO",60,1,0,0,60,0,0
"254",12,"LIDO",61,1,52,5,53.3333333333333,1,6.66666666666667
"255",12,"LIDO",62,1,7,0,60,0,0
"256",12,"LIDO",63,1,85,12,45.1,1,14.9
"257",13,"B+N",1,1,386,3,59.35,2,0.65
"258",13,"B+N",2,1,242,14,55.3333333333333,2,4.66666666666667
"259",13,"B+N",3,1,18,0,60,0,0
"260",13,"B+N",4,1,1,0,60,0,0
"261",13,"B+N",5,1,10,0,60,0,0
"262",13,"B+N",6,1,12,0,60,0,0
"263",13,"B+N",7,1,15,0,60,0,0
"264",13,"B+N",8,1,2,0,60,0,0
"265",13,"B+N",9,1,97,11,56.1666666666667,1,3.83333333333333
"266",13,"B+N",10,1,4,0,60,0,0
"267",13,"B+N",11,1,42,2,58.2333333333333,1,1.76666666666667
"268",13,"B+N",12,1,1,0,60,0,0
"269",13,"B+N",13,1,46,3,59.3333333333333,1,0.666666666666667
"270",13,"B+N",14,1,115,20,52.2,1,7.8
"271",13,"B+N",15,1,58,9,54.9,1,5.1
"272",13,"B+N",16,1,0,0,60,0,0
