,Cow,TRT,day,sday,MotionIndex,Steps,LyingTime,LyingBouts,StandingTime,rm?,rmfr
70,30,LIDO,1,1,3114,498,21.03805556,27,2.961944444,,
71,30,LIDO,2,1,1796,306,21.16444444,20,2.835555556,,
72,30,LIDO,3,1,314,51,8.703055556,8,1.296944444,,
73,31,B+N,1,2,1096,137,22.41666667,11,1.583333333,,
74,31,B+N,2,2,1147,198,20.4675,11,3.5325,,
75,31,B+N,3,2,461,75,14.5375,6,1.7125,,
76,33,BO,1,2,1540,194,21.34027778,19,2.659722222,,
77,33,BO,2,2,1610,248,19.88083333,17,4.119166667,,
78,33,BO,3,2,807,128,14.34638889,11,1.903611111,,
79,34,LIDO,1,2,1366,175,20.99027778,9,3.009722222,,
80,34,LIDO,2,2,2175,346,17.52361111,25,6.476388889,,
81,34,LIDO,3,2,1124,152,13.04527778,21,3.204722222,,
82,35,BO,1,2,1719,189,22.08833333,11,1.911666667,,
83,35,BO,2,2,1973,362,19.41972222,24,4.580277778,,
84,35,BO,3,2,1604,276,12.18972222,23,4.060277778,,
85,36,B+N,1,2,1118,125,21.70305556,21,2.296944444,,
86,36,B+N,2,2,930,137,19.93388889,28,4.066111111,,
87,36,B+N,3,2,413,66,14.53527778,17,1.464722222,,
88,37,B+N,1,2,2852,482,21.60111111,20,2.398888889,,
89,37,B+N,2,2,2330,411,19.67472222,25,4.325277778,,
90,37,B+N,3,2,1045,177,13.81805556,15,2.181944444,,
91,38,BO,1,2,1639,239,20.65972222,20,3.340277778,,
92,38,BO,2,2,1263,173,19.78166667,22,4.218333333,,
93,38,BO,3,2,765,108,13.29194444,11,2.208055556,,
94,39,LIDO,1,2,1536,156,23.02722222,19,0.972777778,,
95,39,LIDO,2,2,1616,246,21.39472222,29,2.605277778,,
96,39,LIDO,3,2,777,118,14.12472222,21,1.875277778,,
100,40,LIDO,1,2,2146,353,20.44194444,22,3.558055556,,
101,40,LIDO,2,2,1638,274,19.41638889,25,4.583611111,,
102,40,LIDO,3,2,706,122,13.50888889,10,2.741111111,,
103,41,BO,1,2,2040,211,22.55666667,28,1.443333333,,
104,41,BO,2,2,1233,176,20.8625,27,3.1375,,
105,41,BO,3,2,987,169,12.64027778,15,2.609722222,,
106,42,B+N,1,2,1018,84,22.69666667,10,1.303333333,,
107,42,B+N,2,2,1448,215,20.20055556,23,3.799444444,,
108,42,B+N,3,2,636,88,14.32194444,16,1.678055556,,
109,43,B+N,1,2,1574,202,21.49694444,17,2.503055556,,
110,43,B+N,2,2,1745,264,19.07277778,14,4.927222222,,
111,43,B+N,3,2,652,89,14.22166667,10,2.028333333,,
112,44,BO,1,2,1859,229,20.4775,15,3.5225,,
113,44,BO,2,2,1338,202,19.1725,22,4.8275,,
114,44,BO,3,2,596,80,13.05555556,14,2.694444444,,
115,45,LIDO,1,2,2320,366,21.48611111,27,2.513888889,,
116,45,LIDO,2,2,2713,469,20.99833333,30,3.001666667,,
117,45,LIDO,3,2,974,149,10.28361111,26,5.716388889,,
118,46,LIDO,1,2,1674,243,21.44916667,13,2.550833333,,
119,46,LIDO,2,2,1865,319,19.43222222,21,4.567777778,,
120,46,LIDO,3,2,1253,222,12.91277778,16,2.837222222,,
121,47,BO,1,2,1135,152,19.51611111,28,4.483888889,,
122,47,BO,2,2,1643,230,18.66583333,29,5.334166667,,
123,47,BO,3,2,582,57,12.88638889,8,0.863611111,,
124,48,B+N,1,2,1459,216,21.21722222,20,2.782777778,,
125,48,B+N,2,2,1622,282,18.73444444,26,5.265555556,,
126,48,B+N,3,2,820,148,12.88805556,15,2.861944444,,
127,49,LIDO,1,2,2590,321,21.59694444,20,2.403055556,,
128,49,LIDO,2,2,2134,335,20.66333333,27,3.336666667,,
