"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"15",15,431594,"LIDO","MAD",1,32.75,NA,05:55:00,"6/12/2025","6/13/2025",14:40:00,6.2,12,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"16",21,431598,"B+N","MAD",1,31.72,NA,07:50:00,"6/12/2025","6/13/2025",15:33:00,6.7,13,11,-2,2025-10-01,"RES6X100",NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,2025-10-07,"INFECTION",2025-06-12,2025-06-13,110,NA,NA,NA,NA,1,2,1,116,1,0,0,1,1,1,0,2025-10-01,NA
"17",14,431599,"BO","MAD",1,28.87,NA,09:40:00,"6/12/2025","6/13/2025",14:32:00,6.9,14,13,-1,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-09-21,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,76,5,19,81,100,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-28,2025-09-21
"18",11,431600,"B+N","MAD",1,28.32,NA,09:45:00,"6/12/2025","6/13/2025",14:04:00,6.6,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"19",26,431602,"BO","MAD",1,28.1,44.1,11:58:00,"6/12/2025","6/13/2025",16:04:00,6.3,14,12,-2,2025-08-18,"RES6X100",2025-08-23,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,66,5,NA,71,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-08-18,NA
"20",3,431603,"B+N","MAD",1,24.97,44.5,11:45:00,"6/12/2025","6/13/2025",12:43:00,6.5,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"21",12,431605,"LIDO","MAD",1,37.13,45,01:03:00,"6/12/2025","6/13/2025",14:11:00,6.9,14,14,0,2025-10-05,"EXCE-1.5CC",2025-10-05,"RES6X100",2025-10-13,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,114,0,8,114,122,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-10-05,2025-10-13
"22",20,431608,"BO","MAD",1,25.17,45.5,14:15:00,"6/12/2025","6/13/2025",15:25:00,6.5,13,13,0,2025-07-21,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-01,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,2025-09-14,"INFECTION",2025-06-12,2025-06-13,38,6,36,44,80,NA,NA,NA,93,1,1,1,0,0,1,1,2025-07-21,2025-09-01
"23",19,431610,"LIDO","MAD",1,24.93,35,14:20:00,"6/12/2025","6/13/2025",15:16:00,6.5,13,11,-2,2025-09-15,"RES6X100",NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,94,NA,NA,NA,NA,1,2,1,NA,1,0,0,1,1,0,0,2025-09-15,NA
"24",5,431611,"B+N","MAD",1,22.62,34.5,14:22:00,"6/12/2025","6/13/2025",12:59:00,6.5,10,11,1,NA,NA,NA,NA,NA,NA,2025-06-24,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,11,NA,NA,NA,0,0,0,1,0,0,0,NA,NA
