Study ID,FarmID,CalfID,TRT,FOO,Egroup,AgeatEnroll,BWKg,Btime,Bdate,Edate,Etime,TP,HbpremgdL,HbpostmgdL
35,1432032,432032,BO,MAD,2,17.05,35.5,20:10,6/19/2025,6/20/2025,13:13,6.6,13,12
56,1432035,432035,LIDO,MAD,2,17.48,40.9,21:06,6/19/2025,6/20/2025,14:35,6.9,13,13
52,1432038,432038,BO,MAD,2,15.37,41.8,23:00,6/19/2025,6/20/2025,14:22,7,11,13
39,1432040,432040,LIDO,MAD,2,14.95,32.3,22:30,6/19/2025,6/20/2025,13:27,7.2,13,21
46,1432019,432044,LIDO,MAD,2,15.1,41.8,15:29,6/19/2025,6/20/2025,13:52,7.4,13,13
50,1432045,432045,B+N,MAD,2,38.2,40.9,0:03,6/19/2025,6/20/2025,14:15,6.2,12,11
63,1432048,432048,LIDO,MAD,2,28.2,32.3,0:46,6/20/2025,6/20/2025,14:58,7.5,11,15
57,1432050,432050,BO,MAD,2,38.02,34.5,0:40,6/20/2025,6/20/2025,14:41,7,14,15
32,1432051,432051,LIDO,MAD,2,12.22,55.9,0:50,6/20/2025,6/20/2025,13:03,,15,
73,1433954,433954,LIDO,MAD,3,34.22,46.8,2:45,7/24/2025,7/25/2025,12:58,6.6,14,13
70,1433958,433958,LIDO,MAD,3,32.57,43.2,4:15,7/24/2025,7/25/2025,12:49,5.9,12,11
76,1433959,433959,LIDO,MAD,3,32.82,49.1,4:17,7/24/2025,7/25/2025,13:06,6.7,11,13
71,1433960,433960,BO,MAD,3,32.55,48.6,4:18,7/24/2025,7/25/2025,12:51,6.5,10,10
80,1433965,433965,B+N,MAD,3,31.58,46.4,5:46,7/24/2025,7/25/2025,13:21,6.9,11,12
74,1433967,433967,B+N,MAD,3,30.85,38.2,6:10,7/24/2025,7/25/2025,13:01,7.2,14,13
92,1433969,433969,BO,MAD,3,31.68,50,6:20,7/24/2025,7/25/2025,14:01,6.6,12,13
78,1433970,433970,BO,MAD,3,31,50.5,6:15,7/24/2025,7/25/2025,13:15,6.4,11,16
93,1433971,433971,B+N,MAD,3,29.93,42.7,8:10,7/24/2025,7/25/2025,14:06,7.6,14,11
83,1433975,433975,B+N,MAD,3,26.12,35,11:25,7/24/2025,7/25/2025,13:32,7.5,14,13
77,1433978,433978,B+N,MAD,3,24.47,41.8,12:42,7/24/2025,7/25/2025,13:10,7.2,12,11
79,1433979,433979,BO,MAD,3,24.07,50,13:15,7/24/2025,7/25/2025,13:19,6.7,10,12
85,1433980,433980,B+N,MAD,3,23.12,39.1,14:32,7/24/2025,7/25/2025,13:39,6.7,12,12
91,1433981,433981,LIDO,MAD,3,23.32,45.9,14:39,7/24/2025,7/25/2025,13:58,7.6,15,14
86,1433982,433982,LIDO,MAD,3,21.98,45.9,15:43,7/24/2025,7/25/2025,13:42,6.7,12,10
90,1433984,433984,BO,MAD,3,21.18,44.1,16:43,7/24/2025,7/25/2025,13:54,6.7,11,15
94,1433988,433988,LIDO,MAD,3,20.75,40.5,17:25,7/24/2025,7/25/2025,14:10,7,10,13
84,1433994,433994,LIDO,MAD,3,17.58,44.1,20:00,7/24/2025,7/25/2025,13:35,6.6,10,11
88,1433995,433995,LIDO,MAD,3,17.37,43.6,20:25,7/24/2025,7/25/2025,13:47,6.8,12,13
75,1433996,433996,BO,MAD,3,16.52,50.5,20:32,7/24/2025,7/25/2025,13:03,7.2,14,19
89,1434000,434000,B+N,MAD,3,16.32,34.5,21:32,7/24/2025,7/25/2025,13:51,6.7,11,11
82,1434002,434002,BO,MAD,3,15.5,36.8,22:00,7/24/2025,7/25/2025,13:30,7,12,16
69,1449432,449432,LIDO,CAD,3,34.17,42.7,2:35,7/24/2025,7/25/2025,12:45,7.3,12,12
67,1449435,449435,B+N,CAD,3,29.45,43.2,7:10,7/24/2025,7/25/2025,12:37,5.9,11,11
72,1449438,449438,B+N,CAD,3,28.73,45,8:11,7/24/2025,7/25/2025,12:55,6.5,14,36
68,1449439,449439,BO,CAD,3,28.02,44.1,8:40,7/24/2025,7/25/2025,12:41,6.8,12,10
81,1449441,449441,LIDO,CAD,3,26.42,43.2,11:00,7/24/2025,7/25/2025,13:25,6.6,12,12
87,1449444,449444,BO,CAD,3,24.95,39.5,12:48,7/24/2025,7/25/2025,13:45,6.9,11,11
65,1449449,449449,BO,CAD,3,30.9,49.5,5:35,7/24/2025,7/25/2025,12:29,7.2,12,14
66,1449450,449450,B+N,CAD,3,15.5,33.2,21:05,7/24/2025,7/25/2025,12:35,5.7,11,10
